area_code,district,city,province
110101,东城区,北京,北京
110102,西城区,北京,北京
110105,朝阳区,北京,北京
110106,丰台区,北京,北京
110107,石景山区,北京,北京
110108,海淀区,北京,北京
110109,门头沟区,北京,北京
110111,房山区,北京,北京
110112,通州区,北京,北京
110113,顺义区,北京,北京
110114,昌平区,北京,北京
110115,大兴区,北京,北京
110116,怀柔区,北京,北京
110117,平谷区,北京,北京
110228,密云县,北京,北京
110229,延庆县,北京,北京
120101,和平区,天津,天津
120102,河东区,天津,天津
120103,河西区,天津,天津
120104,南开区,天津,天津
120105,河北区,天津,天津
120106,红桥区,天津,天津
120110,东丽区,天津,天津
120111,西青区,天津,天津
120112,津南区,天津,天津
120113,北辰区,天津,天津
120114,武清区,天津,天津
120115,宝坻区,天津,天津
120116,滨海新区,天津,天津
120221,宁河县,天津,天津
120223,静海县,天津,天津
120225,蓟县,天津,天津
130102,长安区,石家庄,河北
130104,桥西区,石家庄,河北
130105,新华区,石家庄,河北
130107,井陉矿区,石家庄,河北
130108,裕华区,石家庄,河北
130109,藁城区,石家庄,河北
130110,鹿泉区,石家庄,河北
130111,栾城区,石家庄,河北
130121,井陉县,石家庄,河北
130123,正定县,石家庄,河北
130125,行唐县,石家庄,河北
130126,灵寿县,石家庄,河北
130127,高邑县,石家庄,河北
130128,深泽县,石家庄,河北
130129,赞皇县,石家庄,河北
130130,无极县,石家庄,河北
130131,平山县,石家庄,河北
130132,元氏县,石家庄,河北
130133,赵县,石家庄,河北
130181,辛集市,石家庄,河北
130183,晋州市,石家庄,河北
130184,新乐市,石家庄,河北
130202,路南区,唐山,河北
130203,路北区,唐山,河北
130204,古冶区,唐山,河北
130205,开平区,唐山,河北
130207,丰南区,唐山,河北
130208,丰润区,唐山,河北
130209,曹妃甸区,唐山,河北
130223,滦县,唐山,河北
130224,滦南县,唐山,河北
130225,乐亭县,唐山,河北
130227,迁西县,唐山,河北
130229,玉田县,唐山,河北
130281,遵化市,唐山,河北
130283,迁安市,唐山,河北
130302,海港区,秦皇岛,河北
130303,山海关区,秦皇岛,河北
130304,北戴河区,秦皇岛,河北
130321,青龙满族自治县,秦皇岛,河北
